model,lens,layer,metric,estimate,low,high
primary,published,21,clean_kurtosis,1.8364825248718262,1.7260560989379883,1.9080557823181152
primary,published,21,lesion_kurtosis,1.5095634460449219,1.439992904663086,1.555415153503418
primary,published,21,lesion_minus_clean_kurtosis,-0.37067317962646484,-0.466519832611084,-0.14729642868041992
primary,published,21,lesion_to_clean_norm_ratio,0.8397959470748901,0.8367450833320618,0.8440209627151489
primary,published,21,clean_lesion_cosine,0.869418203830719,0.8653483688831329,0.878485257923603
primary,published,22,clean_kurtosis,2.1674537658691406,2.1132545471191406,2.201840400695801
primary,published,22,lesion_kurtosis,1.5831546783447266,1.4670910835266113,1.7439599990844714
primary,published,22,lesion_minus_clean_kurtosis,-0.5446767807006836,-0.6241469383239746,-0.4911700367927553
primary,published,22,lesion_to_clean_norm_ratio,0.8433982133865356,0.837946355342865,0.850217878818512
primary,published,22,clean_lesion_cosine,0.8716727495193481,0.8642584085464478,0.8782933950424194
primary,own_fresh,16,clean_kurtosis,1.1405553817749023,1.0173519015312196,1.2964024543762207
primary,own_fresh,16,lesion_kurtosis,0.8365423679351807,0.7824897766113281,0.9520251750946045
primary,own_fresh,16,lesion_minus_clean_kurtosis,-0.26912426948547363,-0.3022660702466965,-0.23852801322937012
primary,own_fresh,16,lesion_to_clean_norm_ratio,0.9874354600906372,0.9867735505104065,0.9881330132484436
primary,own_fresh,16,clean_lesion_cosine,0.9829409122467041,0.9818897247314453,0.9845872819423676
primary,own_fresh,18,clean_kurtosis,1.377047061920166,1.3034439086914062,1.848008155822754
primary,own_fresh,18,lesion_kurtosis,1.40576171875,1.3276944160461426,1.481067180633545
primary,own_fresh,18,lesion_minus_clean_kurtosis,-0.09967470169067383,-0.4123520851135254,0.14761781692504883
primary,own_fresh,18,lesion_to_clean_norm_ratio,0.9350529313087463,0.9312196969985962,0.9373607359826565
primary,own_fresh,18,clean_lesion_cosine,0.9540038108825684,0.952336847782135,0.9566534757614136
primary,own_fresh,19,clean_kurtosis,1.6727404594421387,1.5794105529785156,2.2734419405460353
primary,own_fresh,19,lesion_kurtosis,1.4075984954833984,1.3158164858818053,1.4504307508468628
primary,own_fresh,19,lesion_minus_clean_kurtosis,-0.4343729019165039,-0.9606936573982239,-0.13358592987060547
primary,own_fresh,19,lesion_to_clean_norm_ratio,0.8730909824371338,0.8699732631444931,0.8750183917582035
primary,own_fresh,19,clean_lesion_cosine,0.9078735113143921,0.9061508774757385,0.9106156229972839
primary,own_fresh,20,clean_kurtosis,1.6765460968017578,1.475471019744873,2.6242074966430664
primary,own_fresh,20,lesion_kurtosis,1.3162884712219238,1.2536535263061523,1.433393955230713
primary,own_fresh,20,lesion_minus_clean_kurtosis,-0.39066314697265625,-1.303206443786621,-0.2264547348022461
primary,own_fresh,20,lesion_to_clean_norm_ratio,0.8600112795829773,0.8331826567649842,0.8663226664066315
primary,own_fresh,20,clean_lesion_cosine,0.8709378242492676,0.8611876964569092,0.879852682352066
primary,own_fresh,21,clean_kurtosis,1.9812026023864746,1.8857231140136719,2.138822078704834
primary,own_fresh,21,lesion_kurtosis,1.2692790031433105,1.2211847305297852,1.2975418388843534
primary,own_fresh,21,lesion_minus_clean_kurtosis,-0.7615718841552734,-0.8880114555358887,-0.6430449485778809
primary,own_fresh,21,lesion_to_clean_norm_ratio,0.8296231031417847,0.8242156066000461,0.8348066210746765
primary,own_fresh,21,clean_lesion_cosine,0.8549701571464539,0.8488046526908875,0.8653027415275574
primary,own_fresh,22,clean_kurtosis,2.4555678367614746,2.401334762573242,2.490234375
primary,own_fresh,22,lesion_kurtosis,1.3936305046081543,1.3009753227233887,1.5120862126350403
primary,own_fresh,22,lesion_minus_clean_kurtosis,-1.0150885581970215,-1.099003368616104,-0.8915352821350098
primary,own_fresh,22,lesion_to_clean_norm_ratio,0.8346112370491028,0.8296027779579163,0.8409475088119507
primary,own_fresh,22,clean_lesion_cosine,0.8575483560562134,0.8455693125724792,0.8628943264484406
replicate,published,16,clean_kurtosis,1.0667033195495605,1.0401315689086914,1.1141038358211512
replicate,published,16,lesion_kurtosis,0.7602171897888184,0.7268948554992676,0.7979922294616699
replicate,published,16,lesion_minus_clean_kurtosis,-0.2929720878601074,-0.34189558029174805,-0.260394811630249
replicate,published,16,lesion_to_clean_norm_ratio,0.9947450757026672,0.9945815205574036,0.9948408603668213
replicate,published,16,clean_lesion_cosine,0.9934478402137756,0.993172287940979,0.993580561876297
replicate,published,18,clean_kurtosis,1.1738529205322266,1.1370563507080078,1.1937379837036133
replicate,published,18,lesion_kurtosis,1.3012042045593262,1.2388830184936523,1.350454330444336
replicate,published,18,lesion_minus_clean_kurtosis,0.08698558807373047,0.05829572677612305,0.12424230575561523
