model,lens,layer,source_id,country_id,clean_kurtosis,clean_lesion_cosine,clean_residual_norm,lesion_kurtosis,lesion_minus_clean_kurtosis,lesion_residual_norm,lesion_to_clean_norm_ratio
base,published,20,fi-capital-t2,FI,1.5653471946716309,0.8911466598510742,16.519773483276367,1.0319175720214844,-0.5334296226501465,13.773998260498047,0.8337885737419128
base,published,20,fi-currency-t0,FI,1.231513500213623,0.9035097360610962,16.56733512878418,0.4476196765899658,-0.7838938236236572,14.253167152404785,0.8603174090385437
base,published,20,fi-currency-t1,FI,1.4769024848937988,0.8810793161392212,17.323026657104492,0.5109913349151611,-0.9659111499786377,14.452044486999512,0.8342678546905518
base,published,20,fi-currency-t2,FI,1.3089570999145508,0.9097839593887329,16.45599937438965,0.6152055263519287,-0.6937515735626221,13.767728805541992,0.836638867855072
base,published,20,fi-currency-t3,FI,1.5229949951171875,0.8810892701148987,16.777488708496094,0.7867858409881592,-0.7362091541290283,14.418030738830566,0.8593676090240479
base,published,20,fi-region-t1,FI,2.5498719215393066,0.9046897292137146,17.739364624023438,0.8920748233795166,-1.65779709815979,15.284256935119629,0.8616011738777161
base,published,20,fi-region-t2,FI,2.399031162261963,0.887050449848175,17.101207733154297,1.223820686340332,-1.1752104759216309,14.531639099121094,0.8497434258460999
base,published,20,gm-region-t1,GM,2.3497095108032227,0.9037024974822998,17.682180404663086,1.0715880393981934,-1.2781214714050293,15.165547370910645,0.8576740622520447
base,published,20,gm-region-t2,GM,2.133580207824707,0.8868507742881775,16.93934440612793,1.198387622833252,-0.9351925849914551,14.576322555541992,0.8605009913444519
base,published,20,ie-capital-t0,IE,1.548485279083252,0.9042258262634277,16.569843292236328,1.4896574020385742,-0.058827877044677734,14.054731369018555,0.8482114672660828
base,published,20,ie-capital-t1,IE,1.7934908866882324,0.8956801891326904,16.773313522338867,1.1994271278381348,-0.5940637588500977,13.888136863708496,0.8279900550842285
base,published,20,ie-capital-t2,IE,1.6909255981445312,0.88950514793396,16.080570220947266,1.188448429107666,-0.5024771690368652,13.60958480834961,0.8463371992111206
base,published,20,ie-capital-t3,IE,1.532646656036377,0.8909502029418945,16.602928161621094,1.1342811584472656,-0.39836549758911133,13.849517822265625,0.8341611623764038
base,published,20,ie-currency-t0,IE,1.2391595840454102,0.8875798583030701,16.64803695678711,0.700690746307373,-0.5384688377380371,14.371042251586914,0.8632274270057678
base,published,20,ie-currency-t1,IE,1.3919768333435059,0.8904503583908081,17.275968551635742,0.5520868301391602,-0.8398900032043457,14.454071998596191,0.836657702922821
base,published,20,ie-currency-t2,IE,1.3772282600402832,0.9099792242050171,16.628887176513672,0.6664764881134033,-0.7107517719268799,14.250913619995117,0.8569974303245544
base,published,20,ie-currency-t3,IE,1.7470436096191406,0.8848530650138855,16.9776611328125,0.6604259014129639,-1.0866177082061768,14.73249626159668,0.8677576780319214
base,published,20,ie-region-t1,IE,2.5273733139038086,0.9002196788787842,17.853036880493164,1.1310358047485352,-1.3963375091552734,15.328665733337402,0.8586027026176453
base,published,20,ie-region-t2,IE,2.4346165657043457,0.8875971436500549,17.163000106811523,1.371053695678711,-1.0635628700256348,14.676674842834473,0.8551346063613892
base,published,20,mg-region-t0,MG,2.047257900238037,0.88984215259552,18.024574279785156,0.9455502033233643,-1.1017076969146729,14.969572067260742,0.8305090665817261
base,published,20,mg-region-t1,MG,2.5413732528686523,0.9018213748931885,17.573884963989258,0.9023816585540771,-1.6389915943145752,15.09278392791748,0.8588188886642456
base,published,20,mg-region-t2,MG,2.3689990043640137,0.8934396505355835,16.95585060119629,1.4004912376403809,-0.9685077667236328,14.448836326599121,0.8521445989608765
base,published,20,mg-region-t3,MG,2.0038328170776367,0.9121142029762268,18.25132179260254,0.5958113670349121,-1.4080214500427246,15.471577644348145,0.8476963043212891
base,published,20,ml-region-t0,ML,1.9554839134216309,0.9067918062210083,18.101930618286133,0.5317466259002686,-1.4237372875213623,15.138409614562988,0.8362870216369629
base,published,20,ml-region-t1,ML,2.6085915565490723,0.8923371434211731,17.66810417175293,1.2883148193359375,-1.3202767372131348,15.08738899230957,0.8539336919784546
base,published,20,ml-region-t2,ML,2.4162425994873047,0.8789010047912598,17.13689422607422,1.2554197311401367,-1.160822868347168,14.391998291015625,0.8398253321647644
base,published,20,ml-region-t3,ML,1.948411464691162,0.9012280702590942,18.318422317504883,0.7332115173339844,-1.2151999473571777,15.340723991394043,0.8374478816986084
base,published,20,np-currency-t0,NP,1.3110103607177734,0.8846497535705566,16.486665725708008,1.0040745735168457,-0.30693578720092773,13.953789710998535,0.8463681936264038
base,published,20,np-currency-t3,NP,1.5634574890136719,0.8859352469444275,16.665283203125,0.9557085037231445,-0.6077489852905273,14.299290657043457,0.8580286502838135
base,published,20,np-region-t0,NP,2.15455961227417,0.9086154699325562,18.103757858276367,0.6052930355072021,-1.5492665767669678,15.211429595947266,0.8402360081672668
base,published,20,nz-capital-t0,NZ,1.6135096549987793,0.8993428945541382,16.270689010620117,1.4132113456726074,-0.20029830932617188,13.674248695373535,0.8404222130775452
base,published,20,nz-capital-t2,NZ,1.5923810005187988,0.8859167695045471,16.645484924316406,1.104630947113037,-0.4877500534057617,13.474967956542969,0.8095269203186035
base,published,20,nz-capital-t3,NZ,1.7050023078918457,0.8912457227706909,16.637203216552734,0.8716933727264404,-0.8333089351654053,13.677330017089844,0.82209312915802
base,published,20,ph-capital-t1,PH,1.863919734954834,0.8827531933784485,17.060827255249023,1.3438754081726074,-0.5200443267822266,13.819660186767578,0.8100228905677795
base,published,20,ph-capital-t2,PH,1.5945920944213867,0.8821932673454285,17.110326766967773,1.1783552169799805,-0.41623687744140625,14.126602172851562,0.8256185054779053
base,published,20,ph-currency-t0,PH,1.1959362030029297,0.8805238008499146,16.3566951751709,0.8952615261077881,-0.3006746768951416,13.824392318725586,0.845182478427887
base,published,20,ph-currency-t2,PH,1.3886513710021973,0.8933857083320618,16.571884155273438,1.2394027709960938,-0.14924860000610352,13.896659851074219,0.8385685086250305
base,published,20,ph-currency-t3,PH,1.5593938827514648,0.8727847337722778,16.470861434936523,0.8533883094787598,-0.7060055732727051,14.047595977783203,0.8528755903244019
base,published,20,ph-region-t0,PH,2.097555160522461,0.9060977697372437,18.26460075378418,0.6500065326690674,-1.4475486278533936,15.346095085144043,0.8402097225189209
base,published,20,ph-region-t2,PH,2.394772529602051,0.8976068496704102,17.27730941772461,0.9504327774047852,-1.4443397521972656,14.806365013122559,0.8569832444190979
base,published,20,rs-region-t1,RS,2.075385570526123,0.9044342637062073,17.76616096496582,0.8945767879486084,-1.1808087825775146,15.348160743713379,0.8638985753059387
base,published,20,sa-capital-t0,SA,1.8311824798583984,0.8792628049850464,16.502519607543945,1.149928092956543,-0.6812543869018555,13.84924602508545,0.8392201066017151
base,published,20,sa-capital-t2,SA,1.733992099761963,0.8925994038581848,16.925662994384766,0.8005208969116211,-0.9334712028503418,14.242761611938477,0.8414891362190247
base,published,20,sa-capital-t3,SA,1.749598503112793,0.890617847442627,16.395069122314453,1.0553374290466309,-0.6942610740661621,13.760738372802734,0.8393217921257019
base,published,20,sa-currency-t0,SA,1.3769569396972656,0.8743343949317932,16.563270568847656,0.9262893199920654,-0.4506676197052002,14.178858757019043,0.856042206287384
