step,loss,grad_norm_pre_clip,learning_rate,epoch_passes,step_seconds,source_ids,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib
17,0.17196164093911648,196.88421630859375,1e-06,0.35978835978835977,3.952294292859733,"[""zw-region-t1"", ""dk-capital-t2"", ""ba-region-t2"", ""eh-region-t2""]",43.68288612365723,66.568359375,65.5186996459961,66.568359375
18,0.10043764516012743,158.12948608398438,1e-06,0.38095238095238093,3.8658330980688334,"[""bj-region-t3"", ""tz-region-t0"", ""et-region-t0"", ""nl-region-t1""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
19,0.36798470228677616,313.3028259277344,1e-06,0.4021164021164021,3.826896905899048,"[""tw-capital-t2"", ""lt-currency-t3"", ""za-region-t3"", ""cd-region-t1""]",43.68288612365723,66.568359375,65.5186996459961,66.568359375
20,0.0734035910863895,200.76004028320312,1e-06,0.42328042328042326,3.8146095518022776,"[""bg-capital-t0"", ""cd-region-t3"", ""th-capital-t0"", ""tw-capital-t3""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
21,0.015298185986466706,14.110596656799316,1e-06,0.4444444444444444,3.8329109204933047,"[""ch-currency-t3"", ""bj-region-t1"", ""lt-region-t1"", ""za-region-t0""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
22,0.0918944732984528,76.14388275146484,1e-06,0.4656084656084656,3.820949634537101,"[""ly-region-t2"", ""nl-capital-t0"", ""ro-currency-t0"", ""vn-currency-t2""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
23,0.33000505148083903,699.4654541015625,1e-06,0.48677248677248675,3.839984815567732,"[""no-region-t2"", ""no-capital-t2"", ""ne-region-t0"", ""tw-region-t0""]",43.681721687316895,66.568359375,65.5186996459961,66.568359375
24,0.018459088052622974,23.48218536376953,1e-06,0.5079365079365079,3.83266350440681,"[""pk-capital-t3"", ""ro-region-t2"", ""ch-capital-t0"", ""ir-capital-t2""]",43.680177211761475,66.568359375,65.5186996459961,66.568359375
25,0.9598319874494337,797.6728515625,1e-06,0.5291005291005291,3.8334168195724487,"[""ne-region-t1"", ""cd-region-t2"", ""ae-region-t0"", ""ne-region-t2""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
26,0.04052559992123861,44.03437423706055,1e-06,0.5502645502645502,3.8516143290326,"[""lt-region-t2"", ""cm-region-t1"", ""gh-region-t0"", ""hk-region-t2""]",43.681721687316895,66.568359375,65.5186996459961,66.568359375
